Type,Query,Total,Match,Wrong,Missing,Overmatch,Total wrong
,,,,,,,
Ownership,2_1,28,23,4,1,0,5
Containment,2_2,43,31,2,10,0,12
,,,,,,,
Ownership,3_1,11,11,0,0,14,14
Ownership,3_2,25,17,8,0,4,12
Ownership,3_3,12,9,3,0,3,6
Containment,3_4,16,15,0,1,0,1
Containment,3_5,25,25,0,0,21,21
Containment,3_6,16,8,3,5,0,8
,,,,,,,
Ownership,4_1,5,3,2,0,10,12
Ownership,4_2,9,5,4,0,4,8
Ownership,4_3,10,7,3,0,1,4
Containment,4_4,10,10,0,0,3,3
Containment,4_5,6,5,1,0,1,2
Containment,4_6,10,10,0,0,0,0
,,,,,,,
Ownership,5_1,4,3,1,0,9,10
Ownership,5_2,3,3,0,0,5,5
Ownership,5_3,4,1,3,0,1,4
Ownership,5_4,3,0,3,0,0,3
Containment,5_5,4,4,0,0,7,7
Containment,5_6,4,4,0,0,6,6
Containment,5_7,4,4,0,0,0,0
Containment,5_8,4,4,0,0,0,0
