Type,Query,Total,Match,Wrong,Missing,Overmatch,Total wrong
,,,,,,,
Ownership,2_1,28,8,9,11,0,20
Containment,2_2,43,36,1,6,2,9
,,,,,,,
Ownership,3_1,11,1,10,0,0,10
Ownership,3_2,25,1,2,22,1,25
Ownership,3_3,12,2,3,7,0,10
Containment,3_4,16,9,1,6,0,7
Containment,3_5,25,22,0,3,0,3
Containment,3_6,16,10,1,5,0,6
,,,,,,,
Ownership,4_1,5,2,3,0,0,3
Ownership,4_2,9,1,3,5,1,9
Ownership,4_3,10,5,4,1,1,6
Containment,4_4,10,10,0,0,0,0
Containment,4_5,6,4,0,2,0,2
Containment,4_6,10,8,0,2,0,2
,,,,,,,
Ownership,5_1,4,2,2,0,1,3
Ownership,5_2,3,1,0,2,0,2
Ownership,5_3,4,0,4,0,1,4
Ownership,5_4,3,1,2,0,0,2
Containment,5_5,4,4,0,0,0,0
Containment,5_6,4,3,0,1,0,1
Containment,5_7,4,4,0,0,0,0
Containment,5_8,4,3,0,1,0,1
