Type,Query,Total,Match,Wrong,Missing,Overmatch,Generated,Recall,Precision,F1
,,,,,,,,,,
Ownership,2_1,28,8,9,11,0,17,0.285714286,0.470588235,0.355555556
Containment,2_2,43,36,1,6,2,39,0.837209302,0.923076923,0.87804878
,,,,,,,,,,
Ownership,3,48,4,15,29,1,20,0.083333333,0.2,0.117647059
Containment,3,57,41,2,14,0,43,0.719298246,0.953488372,0.82
,,,,,,,,,,
Ownership,4,24,8,10,6,2,20,0.333333333,0.4,0.363636364
Containment,4,26,22,0,4,0,22,0.846153846,1,0.916666667
,,,,,,,,,,
Ownership,5,14,4,8,2,2,14,0.285714286,0.285714286,0.285714286
Containment,5,16,14,0,2,0,14,0.875,1,0.933333333
